adjudication_row,component,requirement,root_box_id,record_id,freeze_route_kind,freeze_route_status,min_surplus,numeric_clearance_ok,route_status_ok,strict_numeric_required,adjudication_status,adjudication_pass,failure_reason,proof_boundary
1,TENSOR,event_aware_interval_replay_required,D060-00010804,A062-D060-00010804.d1rho1.d2rho1.d3x30.d4y30.d5x51.d6y50.d7rho0.d8x31.d9y30.d10x51.d11y50.d12rho0,p0_event_aware_support_area_record_freeze_candidate,frozen_event_aware_candidate_pending_interval_replay,0.000962642723187,True,True,False,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
2,TENSOR,event_aware_interval_replay_required,D060-00010804,A062-D060-00010804.d1rho1.d2rho1.d3x30.d4y30.d5x51.d6y50.d7rho0.d8x31.d9y31.d10x51.d11y50.d12rho0,p0_event_aware_support_area_record_freeze_candidate,frozen_event_aware_candidate_pending_interval_replay,0.000952334368473,True,True,False,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
3,TENSOR,event_aware_interval_replay_required,D060-00013205,A062-D060-00013205.d1rho0.d2rho0.d3x30.d4y31.d5x51.d6y50.d7rho1.d8x31.d9y30.d10x50.d11y50.d12rho1,p0_event_aware_support_area_record_freeze_candidate,frozen_event_aware_candidate_pending_interval_replay,0.000713722546314,True,True,False,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
4,TENSOR,event_aware_interval_replay_required,D060-00013205,A062-D060-00013205.d1rho0.d2rho1.d3x31.d4y31.d5x50.d6y50.d7rho0.d8x30.d9y30.d10x51.d11y50.d12rho0,p0_event_aware_support_area_record_freeze_candidate,frozen_event_aware_candidate_pending_interval_replay,0.000713722546314,True,True,False,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
5,TENSOR,event_aware_interval_replay_required,D060-00013205,A062-D060-00013205.d1rho1.d2rho0.d3x31.d4y30.d5x50.d6y50.d7rho1.d8x30.d9y30.d10x50.d11y50.d12rho1,p0_event_aware_support_area_record_freeze_candidate,frozen_event_aware_candidate_pending_interval_replay,0.000962642723187,True,True,False,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
6,TENSOR,event_aware_interval_replay_required,D060-00013205,A062-D060-00013205.d1rho1.d2rho0.d3x31.d4y30.d5x50.d6y50.d7rho1.d8x30.d9y31.d10x50.d11y50.d12rho1,p0_event_aware_support_area_record_freeze_candidate,frozen_event_aware_candidate_pending_interval_replay,0.000952334368473,True,True,False,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
7,TENSOR,event_aware_interval_replay_required,D060-00001200,A062-D060-00001200.d1rho1.d2rho1.d3x30.d4y30.d5x50.d6y51.d7rho0.d8x30.d9y31.d10x50.d11y51.d12rho0,p0_event_aware_support_area_record_freeze_candidate,frozen_event_aware_candidate_pending_interval_replay,0.000941806057578,True,True,False,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
8,TENSOR,event_aware_interval_replay_required,D060-00001200,A062-D060-00001200.d1rho1.d2rho1.d3x30.d4y30.d5x50.d6y51.d7rho1.d8x31.d9y31.d10x51.d11y51.d12rho1,p0_event_aware_support_area_record_freeze_candidate,frozen_event_aware_candidate_pending_interval_replay,0.00086008561555,True,True,False,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
9,TENSOR,event_aware_interval_replay_required,D060-00003601,A062-D060-00003601.d1rho0.d2rho0.d3x31.d4y30.d5x50.d6y51.d7rho1.d8x30.d9y30.d10x51.d11y51.d12rho1,p0_event_aware_support_area_record_freeze_candidate,frozen_event_aware_candidate_pending_interval_replay,0.000951109880307,True,True,False,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
10,TENSOR,event_aware_interval_replay_required,D060-00003601,A062-D060-00003601.d1rho0.d2rho1.d3x30.d4y30.d5x50.d6y51.d7rho0.d8x31.d9y30.d10x50.d11y51.d12rho0,p0_event_aware_support_area_record_freeze_candidate,frozen_event_aware_candidate_pending_interval_replay,0.00094345600514,True,True,False,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
