adjudication_class,component,record_id,requirement,status,pass,failure_reason,proof_boundary
EVENT_AWARE,TENSOR,A062-D060-00010804.d1rho1.d2rho1.d3x30.d4y30.d5x51.d6y50.d7rho0.d8x31.d9y30.d10x51.d11y50.d12rho0,event_aware_interval_replay_required,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
EVENT_AWARE,TENSOR,A062-D060-00010804.d1rho1.d2rho1.d3x30.d4y30.d5x51.d6y50.d7rho0.d8x31.d9y31.d10x51.d11y50.d12rho0,event_aware_interval_replay_required,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
EVENT_AWARE,TENSOR,A062-D060-00013205.d1rho0.d2rho0.d3x30.d4y31.d5x51.d6y50.d7rho1.d8x31.d9y30.d10x50.d11y50.d12rho1,event_aware_interval_replay_required,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
EVENT_AWARE,TENSOR,A062-D060-00013205.d1rho0.d2rho1.d3x31.d4y31.d5x50.d6y50.d7rho0.d8x30.d9y30.d10x51.d11y50.d12rho0,event_aware_interval_replay_required,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
EVENT_AWARE,TENSOR,A062-D060-00013205.d1rho1.d2rho0.d3x31.d4y30.d5x50.d6y50.d7rho1.d8x30.d9y30.d10x50.d11y50.d12rho1,event_aware_interval_replay_required,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
EVENT_AWARE,TENSOR,A062-D060-00013205.d1rho1.d2rho0.d3x31.d4y30.d5x50.d6y50.d7rho1.d8x30.d9y31.d10x50.d11y50.d12rho1,event_aware_interval_replay_required,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
EVENT_AWARE,TENSOR,A062-D060-00001200.d1rho1.d2rho1.d3x30.d4y30.d5x50.d6y51.d7rho0.d8x30.d9y31.d10x50.d11y51.d12rho0,event_aware_interval_replay_required,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
EVENT_AWARE,TENSOR,A062-D060-00001200.d1rho1.d2rho1.d3x30.d4y30.d5x50.d6y51.d7rho1.d8x31.d9y31.d10x51.d11y51.d12rho1,event_aware_interval_replay_required,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
EVENT_AWARE,TENSOR,A062-D060-00003601.d1rho0.d2rho0.d3x31.d4y30.d5x50.d6y51.d7rho1.d8x30.d9y30.d10x51.d11y51.d12rho1,event_aware_interval_replay_required,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
EVENT_AWARE,TENSOR,A062-D060-00003601.d1rho0.d2rho1.d3x30.d4y30.d5x50.d6y51.d7rho0.d8x31.d9y30.d10x50.d11y51.d12rho0,event_aware_interval_replay_required,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
EVENT_AWARE,TENSOR,A062-D060-00003601.d1rho0.d2rho1.d3x30.d4y30.d5x50.d6y51.d7rho0.d8x31.d9y31.d10x50.d11y51.d12rho0,event_aware_interval_replay_required,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
EVENT_AWARE,TENSOR,A062-D060-00006002.d1rho0.d2rho0.d3x31.d4y30.d5x51.d6y51.d7rho1.d8x30.d9y30.d10x51.d11y51.d12rho1,event_aware_interval_replay_required,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
EVENT_AWARE,TENSOR,A062-D060-00006002.d1rho0.d2rho0.d3x31.d4y30.d5x51.d6y51.d7rho1.d8x30.d9y31.d10x51.d11y51.d12rho1,event_aware_interval_replay_required,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
EVENT_AWARE,TENSOR,A062-D060-00006002.d1rho0.d2rho1.d3x30.d4y30.d5x51.d6y51.d7rho0.d8x31.d9y30.d10x50.d11y51.d12rho0,event_aware_interval_replay_required,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
EVENT_AWARE,TENSOR,A062-D060-00006002.d1rho1.d2rho0.d3x31.d4y30.d5x51.d6y51.d7rho0.d8x30.d9y31.d10x50.d11y51.d12rho0,event_aware_interval_replay_required,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
EVENT_AWARE,TENSOR,A062-D060-00006002.d1rho1.d2rho0.d3x31.d4y30.d5x51.d6y51.d7rho1.d8x31.d9y31.d10x51.d11y51.d12rho1,event_aware_interval_replay_required,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
EVENT_AWARE,TENSOR,A062-D060-00010804.d1rho1.d2rho1.d3x30.d4y30.d5x51.d6y50.d7rho0.d8x31.d9y31.d10x50.d11y50.d12rho1,event_aware_interval_replay_required,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
EVENT_AWARE,TENSOR,A062-D060-00013205.d1rho1.d2rho0.d3x31.d4y30.d5x50.d6y50.d7rho1.d8x30.d9y31.d10x51.d11y50.d12rho0,event_aware_interval_replay_required,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
EVENT_AWARE,TENSOR,A062-D060-00001200.d1rho0.d2rho1.d3x30.d4y31.d5x50.d6y51.d7rho0.d8x31.d9y30.d10x50.d11y50.d12rho1,event_aware_interval_replay_required,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
EVENT_AWARE,TENSOR,A062-D060-00008403.d1rho0.d2rho0.d3x31.d4y31.d5x51.d6y51.d7rho1.d8x30.d9y30.d10x51.d11y50.d12rho0,event_aware_interval_replay_required,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
EVENT_AWARE,TENSOR,A062-D060-00003601.d1rho0.d2rho1.d3x30.d4y30.d5x50.d6y51.d7rho0.d8x31.d9y31.d10x51.d11y51.d12rho1,event_aware_interval_replay_required,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
EVENT_AWARE,TENSOR,A062-D060-00006002.d1rho0.d2rho0.d3x31.d4y30.d5x51.d6y51.d7rho1.d8x30.d9y31.d10x50.d11y51.d12rho0,event_aware_interval_replay_required,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
EVENT_AWARE,TENSOR,A062-D060-00001200.d1rho0.d2rho1.d3x30.d4y31.d5x50.d6y51.d7rho1.d8x30.d9y30.d10x50.d11y50.d12rho1,event_aware_interval_replay_required,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
EVENT_AWARE,TENSOR,A062-D060-00008403.d1rho0.d2rho0.d3x31.d4y31.d5x51.d6y51.d7rho0.d8x31.d9y30.d10x51.d11y50.d12rho0,event_aware_interval_replay_required,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
EVENT_AWARE,H004,A062-D060-00006002.d1rho1.d2rho1.d3y51.d4x51.d5y31.d6x31.d7rho0.d8y51.d9x51.d10y30.d11x30.d12rho1.d13x50.d14y30.d15x31.d16rho1.d17y31.d18y50.d19x31.d20rho0.d21x51.d22y50.d23y50.d24x50.d25y31.d26rho0.d27x30,common_source_event_aware_interval_replay_required,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
EVENT_AWARE,H004,A062-D060-00006002.d1rho1.d2rho1.d3y51.d4x51.d5y31.d6x31.d7rho0.d8y51.d9x51.d10y30.d11x30.d12rho1.d13x50.d14y30.d15x31.d16rho1.d17y31.d18y50.d19x31.d20rho0.d21x51.d22y50.d23y50.d24x51.d25y31.d26rho0.d27x30,common_source_event_aware_interval_replay_required,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
EVENT_AWARE,H004,A062-D060-00006002.d1rho1.d2rho1.d3y51.d4x51.d5y31.d6x31.d7rho0.d8y51.d9x51.d10y30.d11x30.d12rho1.d13x50.d14y30.d15x31.d16rho0.d17y31.d18y50.d19x31.d20x51.d21y50.d22y50.d23x51.d24y30.d25rho1.d26rho1.d27x30,common_source_event_aware_interval_replay_required,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
EVENT_AWARE,H004,A062-D060-00006002.d1rho1.d2rho1.d3y51.d4x51.d5y31.d6x31.d7rho0.d8y51.d9x51.d10y30.d11x30.d12rho1.d13x50.d14y30.d15x31.d16rho1.d17y31.d18y50.d19x30.d20rho1.d21x51.d22y50.d23y50.d24x51.d25y31.d26x30.d27rho0,common_source_event_aware_interval_replay_required,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
EVENT_AWARE,H004,A062-D060-00006002.d1rho1.d2rho1.d3y51.d4x51.d5y31.d6x31.d7rho0.d8y51.d9x51.d10y30.d11x30.d12rho1.d13x50.d14y30.d15x31.d16rho1.d17y31.d18y50.d19x30.d20rho1.d21x51.d22y50.d23y50.d24x51.d25y30.d26x31.d27rho0,common_source_event_aware_interval_replay_required,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
EVENT_AWARE,H004,A062-D060-00006002.d1rho1.d2rho1.d3y51.d4x51.d5y31.d6x31.d7rho0.d8y51.d9x51.d10y30.d11x30.d12rho1.d13x51.d14y30.d15x31.d16rho1.d17y31.d18y50.d19x30.d20rho1.d21y50.d22x50.d23y50.d24x50.d25y30.d26x31.d27rho0,common_source_event_aware_interval_replay_required,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
EVENT_AWARE,H004,A062-D060-00006002.d1rho1.d2rho1.d3y51.d4x51.d5y31.d6x31.d7rho0.d8y51.d9x51.d10y30.d11x30.d12rho1.d13x51.d14y30.d15x31.d16rho1.d17y31.d18y50.d19x30.d20rho1.d21y50.d22x50.d23y50.d24x50.d25y31.d26x30.d27rho0,common_source_event_aware_interval_replay_required,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
