replay_row,component,root_box_id,record_id,final_adjudication_requirement,freeze_route_kind,freeze_route_status,final_replay_status,final_replay_pass
1,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x30.d4y30.d5x51.d6y50.d7rho0.d8x30.d9y30.d10x51.d11y51.d12rho0,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
2,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x30.d4y30.d5x51.d6y50.d7rho0.d8x30.d9y30.d10x51.d11y51.d12rho1,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
3,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x30.d4y30.d5x51.d6y50.d7rho0.d8x30.d9y31.d10x51.d11y50.d12rho1,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
4,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x30.d4y30.d5x51.d6y50.d7rho0.d8x31.d9y30.d10x51.d11y51.d12rho0,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
5,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x30.d4y30.d5x51.d6y50.d7rho0.d8x31.d9y30.d10x51.d11y51.d12rho1,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
6,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x30.d4y30.d5x51.d6y50.d7rho0.d8x31.d9y31.d10x51.d11y50.d12rho0,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
7,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x30.d4y30.d5x51.d6y50.d7rho1.d8x30.d9y30.d10x51.d11y51.d12rho0,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
8,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x30.d4y30.d5x51.d6y50.d7rho1.d8x30.d9y30.d10x51.d11y51.d12rho1,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
9,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x30.d4y30.d5x51.d6y50.d7rho1.d8x30.d9y31.d10x51.d11y50.d12rho0,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
10,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x30.d4y30.d5x51.d6y50.d7rho1.d8x30.d9y31.d10x51.d11y50.d12rho1,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
11,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x30.d4y30.d5x51.d6y50.d7rho1.d8x31.d9y30.d10x51.d11y50.d12rho1,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
12,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x30.d4y31.d5x51.d6y50.d7rho0.d8x30.d9y30.d10x50.d11y51.d12rho0,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
13,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x30.d4y31.d5x51.d6y50.d7rho0.d8x30.d9y30.d10x50.d11y51.d12rho1,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
14,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x30.d4y31.d5x51.d6y50.d7rho0.d8x30.d9y30.d10x51.d11y50.d12rho0,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
15,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x30.d4y31.d5x51.d6y50.d7rho0.d8x30.d9y31.d10x51.d11y50.d12rho1,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
16,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x30.d4y31.d5x51.d6y50.d7rho0.d8x31.d9y30.d10x50.d11y51.d12rho0,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
17,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x30.d4y31.d5x51.d6y50.d7rho0.d8x31.d9y30.d10x50.d11y51.d12rho1,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
18,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x30.d4y31.d5x51.d6y50.d7rho0.d8x31.d9y31.d10x50.d11y50.d12rho0,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
19,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x30.d4y31.d5x51.d6y50.d7rho0.d8x31.d9y31.d10x50.d11y50.d12rho1,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
20,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x30.d4y31.d5x51.d6y50.d7rho0.d8x31.d9y31.d10x50.d11y51.d12rho0,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
21,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x30.d4y31.d5x51.d6y50.d7rho0.d8x31.d9y31.d10x50.d11y51.d12rho1,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
22,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x30.d4y31.d5x51.d6y50.d7rho1.d8x30.d9y30.d10x50.d11y50.d12rho1,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
23,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x30.d4y31.d5x51.d6y50.d7rho1.d8x30.d9y30.d10x50.d11y51.d12rho0,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
24,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x30.d4y31.d5x51.d6y50.d7rho1.d8x30.d9y31.d10x50.d11y50.d12rho0,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
25,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x30.d4y31.d5x51.d6y50.d7rho1.d8x30.d9y31.d10x50.d11y51.d12rho0,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
26,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x30.d4y31.d5x51.d6y50.d7rho1.d8x30.d9y31.d10x50.d11y51.d12rho1,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
27,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x30.d4y31.d5x51.d6y50.d7rho1.d8x30.d9y31.d10x51.d11y51.d12rho1,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
28,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x30.d4y31.d5x51.d6y50.d7rho1.d8x31.d9y30.d10x50.d11y50.d12rho0,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
29,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x30.d4y31.d5x51.d6y50.d7rho1.d8x31.d9y30.d10x50.d11y50.d12rho1,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
30,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x30.d4y31.d5x51.d6y50.d7rho1.d8x31.d9y30.d10x50.d11y51.d12rho0,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
31,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x30.d4y31.d5x51.d6y50.d7rho1.d8x31.d9y30.d10x50.d11y51.d12rho1,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
32,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x30.d4y31.d5x51.d6y50.d7rho1.d8x31.d9y31.d10x51.d11y51.d12rho0,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
33,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x30.d4y31.d5x51.d6y50.d7rho1.d8x31.d9y31.d10x51.d11y51.d12rho1,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
34,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x31.d4y30.d5x51.d6y50.d7rho0.d8x30.d9y30.d10x51.d11y51.d12rho0,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
35,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x31.d4y30.d5x51.d6y50.d7rho0.d8x30.d9y30.d10x51.d11y51.d12rho1,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
36,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x31.d4y30.d5x51.d6y50.d7rho0.d8x30.d9y31.d10x51.d11y50.d12rho0,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
37,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x31.d4y30.d5x51.d6y50.d7rho0.d8x31.d9y30.d10x51.d11y51.d12rho0,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
38,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x31.d4y30.d5x51.d6y50.d7rho0.d8x31.d9y30.d10x51.d11y51.d12rho1,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
39,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x31.d4y30.d5x51.d6y50.d7rho0.d8x31.d9y31.d10x51.d11y50.d12rho0,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
40,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x31.d4y30.d5x51.d6y50.d7rho0.d8x31.d9y31.d10x51.d11y51.d12rho0,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
41,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x31.d4y30.d5x51.d6y50.d7rho0.d8x31.d9y31.d10x51.d11y51.d12rho1,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
42,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x31.d4y30.d5x51.d6y50.d7rho1.d8x30.d9y30.d10x51.d11y50.d12rho1,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
43,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x31.d4y30.d5x51.d6y50.d7rho1.d8x30.d9y30.d10x51.d11y51.d12rho0,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
44,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x31.d4y30.d5x51.d6y50.d7rho1.d8x31.d9y30.d10x51.d11y51.d12rho0,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
45,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x31.d4y30.d5x51.d6y50.d7rho1.d8x31.d9y30.d10x51.d11y51.d12rho1,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
46,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x31.d4y31.d5x51.d6y50.d7rho0.d8x30.d9y30.d10x51.d11y51.d12rho1,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
47,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x31.d4y31.d5x51.d6y50.d7rho0.d8x30.d9y31.d10x50.d11y50.d12rho0,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
48,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x31.d4y31.d5x51.d6y50.d7rho0.d8x30.d9y31.d10x50.d11y50.d12rho1,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
49,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x31.d4y31.d5x51.d6y50.d7rho0.d8x30.d9y31.d10x51.d11y51.d12rho0,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
50,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x31.d4y31.d5x51.d6y50.d7rho1.d8x30.d9y30.d10x50.d11y50.d12rho0,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
51,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x31.d4y31.d5x51.d6y50.d7rho1.d8x30.d9y30.d10x50.d11y50.d12rho1,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
52,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x31.d4y31.d5x51.d6y50.d7rho1.d8x30.d9y30.d10x51.d11y51.d12rho0,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
53,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x31.d4y31.d5x51.d6y50.d7rho1.d8x30.d9y30.d10x51.d11y51.d12rho1,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
